,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11160,Landry Shamet,BKN,24.0,193.04,86.18248,Wichita State,USA,2018,1,26,61,9.3,1.8,1.6,1.1,0.008,0.067,0.16399999999999998,0.578,0.09699999999999999,2020-21
11161,Langston Galloway,PHX,29.0,185.42,90.7184,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,40,4.8,1.1,0.7,3.2,0.017,0.08,0.163,0.605,0.08,2020-21
11162,Larry Nance Jr.,CLE,28.0,200.66,111.13004,Wyoming,USA,2015,1,27,35,9.3,6.7,3.1,-5.6,0.049,0.16899999999999998,0.139,0.557,0.145,2020-21
11163,Lauri Markkanen,CHI,24.0,213.36,108.86208,Arizona,Finland,2017,1,7,51,13.6,5.3,0.9,-2.8,0.027000000000000003,0.17300000000000001,0.19699999999999998,0.619,0.051,2020-21
11164,LeBron James,LAL,36.0,205.74,113.398,None,USA,2003,1,1,45,25.0,7.7,7.8,9.2,0.02,0.20199999999999999,0.31,0.602,0.39399999999999996,2020-21
11165,Lonnie Walker IV,SAS,22.0,193.04,92.532768,Miami,USA,2018,1,18,60,11.2,2.6,1.7,-6.3,0.009000000000000001,0.09300000000000001,0.19899999999999998,0.523,0.095,2020-21
11166,Lonzo Ball,NOP,23.0,198.12,86.18248,UCLA,USA,2017,1,2,55,14.6,4.8,5.7,0.5,0.018000000000000002,0.129,0.20199999999999999,0.551,0.24600000000000002,2020-21
11167,Luguentz Dort,OKC,22.0,190.5,97.52228000000001,Arizona State,Canada,Undrafted,Undrafted,Undrafted,52,14.0,3.6,1.7,-7.2,0.023,0.092,0.218,0.513,0.09,2020-21
11168,Louis King,SAC,22.0,200.66,92.98635999999999,Oregon,USA,Undrafted,Undrafted,Undrafted,6,7.3,3.0,1.5,-3.3,0.051,0.135,0.191,0.6,0.18,2020-21
11169,Malcolm Brogdon,IND,28.0,195.58,103.872568,Virginia,USA,2016,2,36,56,21.2,5.3,5.9,-0.5,0.028999999999999998,0.11800000000000001,0.257,0.561,0.271,2020-21
11170,Luka Doncic,DAL,22.0,200.66,104.32616,None,Slovenia,2018,1,3,66,27.7,8.0,8.6,3.9,0.024,0.20199999999999999,0.35,0.5870000000000001,0.425,2020-21
11171,Malachi Flynn,TOR,23.0,185.42,79.3786,San Diego State,USA,2020,1,29,47,7.5,2.5,2.9,-5.6,0.01,0.114,0.183,0.484,0.225,2020-21
11172,Luke Kennard,LAC,25.0,195.58,93.439952,Duke,USA,2017,1,12,63,8.3,2.6,1.7,-0.4,0.013000000000000001,0.11800000000000001,0.166,0.608,0.12,2020-21
11173,Luke Kornet,BOS,25.0,218.44,113.398,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,31,3.4,2.2,0.8,5.8,0.040999999999999995,0.14400000000000002,0.135,0.511,0.095,2020-21
11174,Lou Williams,ATL,34.0,185.42,79.3786,None,USA,2005,2,45,66,11.3,2.1,3.4,1.8,0.015,0.08,0.244,0.519,0.233,2020-21
11175,Luka Samanic,SAS,21.0,208.28,102.965384,None,Croatia,2019,1,19,33,3.7,2.1,0.5,-2.0,0.049,0.158,0.187,0.518,0.073,2020-21
11176,Killian Tillie,MEM,23.0,205.74,99.79024,Gonzaga,France,Undrafted,Undrafted,Undrafted,18,3.2,1.3,0.4,9.6,0.031,0.08199999999999999,0.14800000000000002,0.461,0.063,2020-21
11177,LaMelo Ball,CHA,19.0,198.12,81.64656,None,USA,2020,1,3,51,15.7,5.9,6.1,-3.1,0.040999999999999995,0.161,0.247,0.539,0.322,2020-21
11178,Khem Birch,TOR,28.0,205.74,105.68693600000002,UNLV,Canada,Undrafted,Undrafted,Undrafted,67,7.2,5.8,1.3,-3.6,0.10099999999999999,0.138,0.133,0.552,0.085,2020-21
11179,Malik Beasley,MIN,24.0,193.04,84.821704,Florida State,USA,2016,1,19,37,19.6,4.4,2.4,-7.2,0.021,0.11199999999999999,0.235,0.57,0.114,2020-21
11180,Khris Middleton,MIL,29.0,200.66,100.697424,Texas A&M,USA,2012,2,39,68,20.4,6.0,5.4,6.2,0.023,0.14300000000000002,0.245,0.588,0.22699999999999998,2020-21
11181,Khyri Thomas,HOU,25.0,190.5,95.25432,Creighton,USA,2018,2,38,5,16.4,3.6,5.0,7.3,0.047,0.07200000000000001,0.20800000000000002,0.586,0.21,2020-21
11182,Killian Hayes,DET,19.0,195.58,88.45044,None,France,2020,1,7,26,6.8,2.7,5.3,-10.1,0.009000000000000001,0.092,0.185,0.42200000000000004,0.299,2020-21
11183,Kira Lewis Jr.,NOP,20.0,185.42,77.11064,Alabama,USA,2020,1,13,54,6.4,1.3,2.3,0.8,0.012,0.064,0.17600000000000002,0.47700000000000004,0.191,2020-21
11184,Kostas Antetokounmpo,LAL,23.0,208.28,90.7184,Dayton,Greece,2018,2,60,15,0.8,1.3,0.1,22.1,0.059000000000000004,0.21100000000000002,0.172,0.382,0.023,2020-21
